"YYYYMM","Diesel","Petrol","Petrol blend","Non-Plugin Hybrid","Plugin Hybrid","Battery Electric","Other"
200101,10499,33287,5157,1,0,3,301
200102,9156,30807,4825,0,0,1,288
200103,11093,37321,5568,0,0,3,291
200104,9563,30741,4846,0,0,5,207
200105,11209,32636,5292,0,0,1,270
200106,10432,29298,4536,0,0,4,193
200107,10244,29085,4632,0,0,9,197
200108,11012,31015,5015,2,0,11,194
200109,10084,26807,4159,0,0,11,220
200110,10036,26715,4619,0,0,12,224
200111,10460,28192,4919,0,0,16,170
200112,8344,23388,3729,0,0,17,170
200201,11814,34187,5691,0,0,9,258
200202,11017,31964,5484,3,0,5,206
200203,11616,35018,5557,0,0,14,225
200204,11539,32275,5274,0,0,7,208
200205,10943,32209,5382,2,0,16,208
200206,11022,29167,5175,0,0,16,191
200207,13044,29069,5099,1,0,15,207
200208,12349,32424,5352,1,0,16,196
200209,11940,33042,5448,0,0,18,185
200210,12651,34099,6121,0,0,6,196
200211,12205,30556,5452,0,0,12,167
200212,10008,26805,4042,0,0,10,182
200301,14812,36524,6416,0,0,13,223
200302,14591,29970,5614,0,0,21,187
200303,18800,39403,6873,0,0,40,265
200304,13479,32770,5174,2,0,20,205
200305,16336,36121,5897,2,0,29,203
200306,15501,35433,5722,2,0,25,283
200307,15935,38080,6606,2,0,19,228
200308,15383,35332,5841,1,0,28,220
200309,16046,36378,5917,2,0,23,236
200310,17779,39224,7339,2,0,19,198
200311,15050,36350,6306,1,0,14,184
200312,13371,36379,5840,1,0,11,217
200401,19995,48976,8544,1,0,13,284
200402,17928,38757,7411,2,0,4,226
200403,20838,48512,8678,2,0,19,231
200404,19880,47108,8326,2,0,29,341
200405,18485,40029,7068,0,0,16,250
200406,20372,41581,7429,2,0,13,271
200407,22039,44904,8021,3,0,15,327
200408,18307,39534,6742,0,0,7,286
200409,20452,42654,8039,3,0,20,318
200410,19243,41787,8116,2,0,21,291
200411,20581,48555,9529,3,0,24,334
200412,18949,48426,8729,0,0,21,331
200501,22027,47716,9110,2,0,11,314
200502,21277,41769,8437,5,0,10,329
200503,24350,49931,9554,1,0,12,366
200504,20726,44640,8453,4,0,8,335
200505,22380,45068,9013,0,0,22,340
200506,21927,43281,8271,1,0,6,289
200507,20669,45687,8893,2,0,21,302
200508,20106,47027,8867,5,0,17,325
200509,21320,48822,8730,1,0,15,337
200510,22873,54027,11242,1,0,16,327
200511,20249,46762,8927,1,0,17,290
200512,20236,48952,8582,1,0,13,290
200601,28857,58910,11939,1,0,10,437
200602,25835,48078,10090,1,0,15,337
200603,31496,61551,12810,1,0,14,381
200604,23564,50589,9730,4,0,14,341
200605,25988,54516,10622,1,0,11,407
200606,26297,57522,11385,2,0,28,420
200607,24780,52449,10041,4,0,20,396
200608,24789,54113,10909,2,0,37,402
200609,24749,53661,11450,1,0,30,508
200610,25585,57166,14282,1,0,13,555
200611,27324,59605,13958,1,0,18,554
200612,22235,52974,11069,2,0,8,520
200701,30914,70598,17911,3,0,10,586
200702,31584,59093,15315,0,0,21,559
200703,37195,68941,15855,3,0,23,688
200704,29792,55845,13246,2,0,8,548
200705,33942,60611,14598,2,0,11,653
200706,30306,56961,13040,2,0,9,501
200707,32616,59720,14378,2,0,38,432
200708,32848,64575,14863,2,0,25,450
200709,31109,61015,14841,3,0,25,387
200710,32240,63521,16046,1,0,27,497
200711,35606,74314,18617,3,0,30,501
200712,28451,58439,12682,1,0,35,372
200801,40899,81889,19059,0,0,32,505
200802,38606,61928,13898,0,0,77,289
200803,41370,62607,13954,2,0,19,382
200804,44379,68374,14315,2,0,22,278
200805,46908,74773,15195,2,0,24,328
200806,39427,58557,13082,3,0,42,344
200807,41055,60586,14642,1,0,80,419
200808,35092,52828,13206,0,0,52,327
200809,35998,58496,12440,1,0,45,319
200810,38467,63215,16414,1,0,38,443
200811,37767,60760,14456,2,0,37,298
200812,30453,54205,11216,2,0,44,281
200901,39261,79376,19311,1,0,35,464
200902,37152,65736,16181,3,0,33,341
200903,45241,71172,16534,3,0,36,374
200904,40729,67342,14935,1,0,36,303
200905,43098,66516,15292,3,0,16,283
200906,44732,68703,15224,5,0,17,285
200907,46589,70200,15493,3,0,32,385
200908,43607,71875,15280,0,0,25,294
200909,46477,74433,16058,4,0,34,276
200910,56860,95067,21707,2,0,29,257
200911,47708,78889,17031,3,0,27,300
200912,43262,74825,15312,3,0,18,290
201001,57645,96223,22320,5,0,10,372
201002,56126,86039,19365,2,0,12,305
201003,67639,107476,23761,3,0,23,368
201004,52922,77637,16959,2,0,13,311
201005,61642,91785,19538,1,0,16,350
201006,55505,84508,16735,1,0,37,276
201007,55640,87537,17039,0,0,22,336
201008,57362,92884,17044,3,0,27,354
201009,58591,95861,18277,1,0,32,572
201010,62041,101141,21616,4,0,26,624
201011,64170,110202,23652,5,0,21,541
201012,62340,106372,21443,2,0,27,485
201101,72991,125383,27584,1,0,57,412
201102,69195,94314,21108,1,0,58,292
201103,82158,110616,23671,2,0,55,384
201104,65679,91952,20058,1,0,48,333
201105,71169,92763,21179,1,0,70,355
201106,72925,83966,20784,1,0,53,371
201107,68919,80033,20295,2,0,46,381
201108,68307,81281,19390,1,0,55,466
201109,73367,82824,18765,2,0,30,497
201110,81116,88424,23080,1,0,37,446
201111,91929,97229,23357,2,0,58,473
201112,83368,82964,17147,2,0,49,360
201201,105683,109297,26161,1,0,71,567
201202,102220,87180,21506,1,0,55,517
201203,140089,112190,24850,2,0,104,582
201204,93657,80242,19072,0,0,11,447
201205,103357,74355,17010,3,0,18,373
201206,109129,69582,15909,3,0,36,380
201207,116541,68729,15612,3,0,47,424
201208,101805,68988,15425,2,0,23,397
201209,87018,64420,14355,3,0,15,339
201210,97984,68511,15873,3,0,7,357
201211,115967,93542,20582,2,0,8,356
201212,100782,79264,16633,2,0,17,446
201301,127442,95843,21233,6,0,13,434
201302,104699,74778,15399,4,0,8,341
201303,112586,78987,15183,2,0,10,379
201304,106498,81740,15658,3,0,54,359
201305,103252,77794,14337,1,0,53,383
201306,88047,68378,12087,1,0,42,313
201307,89839,75126,13488,3,0,34,400
201308,87186,71267,12056,3,0,33,309
201309,86868,69082,11036,0,0,23,253
201310,107329,87503,15379,3,0,40,317
201311,100868,79980,13590,2,0,23,276
201312,83004,69792,11394,3,0,29,261
201401,115981,104425,17793,1,0,33,376
201402,88779,68126,11195,1,0,23,228
201403,108005,86363,14054,0,0,36,323
201404,96204,81154,15228,1,0,32,276
201405,100638,85262,15466,2,0,34,320
201406,92188,81612,14650,2,0,20,263
201407,95628,85947,16743,0,0,17,338
201408,86825,80641,14257,1,0,59,315
201409,87396,87775,14270,1,0,57,317
201410,89667,99101,19005,2,0,57,351
201411,90876,93946,15889,4,0,51,354
201412,82164,90999,14180,1,0,55,342
201501,119334,121044,19710,1,0,72,387
201502,92678,91749,14224,1,0,55,324
201503,95365,100489,15335,4,0,56,314
201504,88176,100003,15417,3,0,38,318
201505,84906,96172,15472,3,0,55,301
201506,84973,95074,15462,3,0,65,302
201507,82567,91274,14875,3,0,69,289
201508,78562,88222,13192,7,0,53,297
201509,85977,98797,13547,18,0,46,320
201510,85832,100406,13989,69,0,52,322
201511,101233,118084,17336,195,0,51,391
201512,86890,110494,14753,250,0,64,426
201601,98069,135914,18991,245,0,79,518
201602,87968,110325,17623,412,0,47,474
201603,87231,115201,16555,645,0,42,1960
201604,80699,108144,16381,857,0,55,652
201605,87399,110855,16998,824,0,38,590
201606,82498,104095,15580,840,0,40,488
201607,77540,105620,15840,1061,0,45,371
201608,81421,115204,16296,1274,0,54,451
201609,75072,108231,14424,1102,0,44,399
201610,98237,143283,20873,1660,0,66,503
201611,87987,125466,16204,973,0,69,513
201612,68837,108254,13945,1454,0,30,434
201701,91404,148677,20781,2153,0,63,502
201702,80872,118630,17263,2775,0,48,460
201703,98108,135069,18841,4137,0,61,577
201704,84151,123800,15892,3644,0,76,501
201705,87496,133278,16806,4393,0,68,503
201706,86672,137696,16916,5036,0,73,470
201707,81323,124570,15689,4316,0,62,413
201708,86086,122567,15625,3267,0,78,335
201709,94622,136509,16380,3613,0,80,322
201710,95153,152677,19866,4629,0,97,374
201711,93890,146773,18290,5178,0,58,401
201712,76743,124078,14414,3815,0,56,484
201801,102297,170030,20885,5455,0,64,846
201802,85690,125035,16155,4774,0,109,284
201803,99018,143098,17796,5420,0,83,560
201804,90957,136937,17229,4923,0,88,503
201805,90782,141983,18876,5219,0,102,578
201806,81772,128497,17654,4755,0,118,610
201807,83520,129191,17507,4763,0,70,421
201808,78480,125930,17017,4872,0,71,475
201809,73434,124206,15691,5877,0,93,414
201810,81111,136790,18237,6871,0,54,407
201811,85775,159183,19980,7318,0,107,379
201812,71675,144274,17746,9203,0,114,448
201901,91868,176393,23275,14304,0,62,758
201902,74211,123819,17065,11436,0,157,534
201903,79362,134786,16030,12131,0,163,623
201904,76055,129378,18812,11180,0,111,459
201905,74288,132420,18692,10269,0,51,402
201906,65313,116315,15423,8100,0,33,306
201907,67080,119691,15965,7349,0,66,280
201908,59930,107789,14227,6802,0,84,276
201909,53039,102850,11445,6782,0,67,241
201910,78178,166068,20949,10096,0,82,348
201911,83073,172948,20053,8601,0,84,326
201912,64281,134779,14382,6318,0,57,226
202001,84966,180023,22258,7236,0,85,370
202002,66509,142886,14732,5892,0,105,172
202003,61726,134931,12434,8082,0,239,336
202004,8558,13195,741,539,0,2,74
202005,3949,24787,1577,1650,0,61,38
202006,18904,99171,8575,6364,0,241,209
202007,26471,123194,12591,6392,0,351,271
202008,30408,139133,15862,8094,0,364,399
202009,35008,151265,15646,9257,0,321,574
202010,42280,193829,21946,10526,0,454,645
202011,50660,229007,24137,12324,0,538,634
202012,48104,212238,21962,12115,0,504,569
202101,47748,215337,26437,13063,0,578,619
202102,47454,187364,24435,10841,0,586,470
202103,54464,206726,26688,12398,0,793,586
202104,38378,155249,15856,8075,0,604,537
202105,18378,59610,9318,2923,0,255,355
202106,40056,136143,15326,7534,0,800,330
202107,52040,183954,27630,12797,0,1071,585
202108,51524,178863,25831,12076,0,1082,647
202109,45373,170367,20031,10502,0,1181,573
202110,41840,167148,17393,12740,0,1256,536
202111,43934,179968,17372,11957,0,1596,601
202112,45942,179916,18822,10004,0,2482,413
202201,45392,186431,26552,10790,0,1351,623
202202,46692,162854,29892,9265,0,2307,428
202203,57053,179495,33166,8212,0,3656,383
202204,55639,178770,31064,7222,0,1801,357
202205,50309,176240,30100,15447,0,2283,538
202206,51464,172524,30502,12332,0,2936,494
202207,52269,163098,28844,12073,0,2951,259
202208,53981,177120,28974,18428,0,2908,305
202209,51767,166510,23483,19110,0,3228,271
202210,64705,211958,36327,27268,0,3306,301
202211,55437,178830,28761,25606,0,3554,166
202212,49444,169255,24473,24350,0,2924,71
202301,58329,203874,34666,29908,0,2971,37
202302,51433,168361,23225,31196,0,4364,29
202303,55832,193678,24777,37360,0,7152,14
202304,49975,161801,24147,27416,0,5408,23
202305,54302,168802,28167,25918,0,6839,11
202306,51143,162318,31814,26066,0,6958,9
202307,48558,154478,32333,22673,0,6922,17
202308,51796,173838,36881,24932,0,6305,16
202309,54601,182427,42522,26123,0,5764,20
202310,56013,199761,47513,26640,0,6447,9
202311,58727,210334,48075,25437,0,7130,21
202312,45850,169200,33612,21429,0,7009,17
202401,62606,219615,51214,30449,0,7027,12
202402,59340,174616,38082,29593,0,6849,11
202403,57822,165452,37770,28132,0,7804,19
202404,59145,176161,43186,29138,0,7583,19
202405,52422,155748,41267,25744,1,7466,20
202406,49296,146395,37558,24112,0,6630,40
202407,55857,165012,42892,28386,2,7572,35
202408,55572,158214,42907,28035,1,6114,29
202409,48881,139357,37737,25506,11,5452,17
202410,84431,247100,83575,41026,14,10450,26
202411,56622,165538,46298,26872,6,8563,20
202412,45350,152223,40782,25180,6,8224,11
202501,73396,230506,85243,40314,11,10830,25
202502,56531,134401,58749,25889,7,8785,17
202503,62950,144481,80040,27947,13,12726,21
202504,63366,136141,89278,29859,8,12976,29
202505,56479,98397,91461,25412,5,12706,34
202506,53904,87553,99788,24595,6,13467,90
202507,55649,90076,115026,26613,9,15643,46
202508,54631,83808,112893,25745,2,17039,86
