"YYYYMM","ICE","Non-plugin hybrid","Plugin hybrid","Battery electric"
200501,93299,0,0,0
200502,89444,0,0,0
200503,89483,0,0,0
200504,86426,0,0,0
200505,83962,0,0,0
200506,84897,0,0,0
200507,85000,0,0,0
200508,90626,0,0,0
200509,91078,0,0,0
200510,89999,0,0,0
200511,100755,0,0,0
200512,146799,0,0,0
200601,96227,0,0,0
200602,89079,0,0,0
200603,96871,0,0,0
200604,77879,0,0,0
200605,86462,0,0,0
200606,87084,0,0,0
200607,83069,0,0,0
200608,90937,0,0,0
200609,92083,0,0,0
200610,97469,0,0,0
200611,102201,0,0,0
200612,140375,0,0,0
200701,97675,0,0,0
200702,86060,0,0,0
200703,96487,0,0,0
200704,75020,0,0,0
200705,84756,0,0,0
200706,80462,0,0,0
200707,83105,0,0,0
200708,88573,0,0,0
200709,86547,0,0,0
200710,97182,0,0,0
200711,97694,0,0,0
200712,126329,0,0,0
200801,96846,0,0,0
200802,86997,0,0,0
200803,80119,0,0,0
200804,83106,0,0,0
200805,85827,0,0,0
200806,81424,0,0,0
200807,85324,0,0,0
200808,86119,0,0,0
200809,76620,0,0,0
200810,83307,0,0,0
200811,78555,0,0,0
200812,101300,0,0,0
200901,69664,0,0,0
200902,61579,0,0,0
200903,64242,0,0,0
200904,51395,0,0,0
200905,53440,0,0,0
200906,55974,0,0,0
200907,56443,0,0,0
200908,58926,0,0,0
200909,58505,0,0,0
200910,67882,0,0,0
200911,64914,0,0,0
200912,91961,0,0,0
201001,64064,0,0,0
201002,59518,0,0,0
201003,65414,0,0,0
201004,60432,0,0,0
201005,61632,0,0,0
201006,59910,0,0,0
201007,61960,0,0,0
201008,66931,0,0,0
201009,65934,0,0,0
201010,74095,0,0,0
201011,75582,0,0,0
201012,104941,0,0,0
201101,68767,0,0,0
201102,66990,0,0,0
201103,75125,0,0,0
201104,65246,0,0,0
201105,68634,0,0,0
201106,68366,0,0,0
201107,68533,0,0,0
201108,75681,0,0,0
201109,73998,0,0,0
201110,75748,0,0,0
201111,83107,0,0,0
201112,115698,0,0,0
201201,75297,0,0,0
201202,74704,0,0,0
201203,83574,0,0,0
201204,69890,0,0,0
201205,80268,0,0,0
201206,78508,0,0,0
201207,76378,0,0,0
201208,83326,0,0,0
201209,79961,0,0,0
201210,83172,0,0,0
201211,91966,0,0,0
201212,110998,0,0,0
201301,84403,0,0,0
201302,80285,0,0,0
201303,82860,0,0,0
201304,83647,0,0,0
201305,87638,0,0,0
201306,83858,0,0,0
201307,86760,0,0,0
201308,88586,0,0,0
201309,78555,0,0,0
201310,88416,0,0,0
201311,100571,0,0,0
201312,119519,0,0,0
201401,85614,0,0,0
201402,80037,0,0,0
201403,85767,0,0,0
201404,76941,0,0,0
201405,88388,0,0,0
201406,84207,0,0,0
201407,96366,0,0,0
201408,103994,0,0,0
201409,89313,0,0,0
201410,101090,0,0,0
201411,111837,0,0,0
201412,133411,0,0,0
201501,103805,0,0,0
201502,97659,0,0,0
201503,105034,0,0,0
201504,94953,0,0,0
201505,102156,0,0,0
201506,107097,0,0,0
201507,111863,0,0,0
201508,112307,0,0,0
201509,111705,0,0,0
201510,120214,0,0,0
201511,126750,0,0,0
201512,160901,0,0,0
201601,119691,125,8,9
201602,111005,94,13,14
201603,116619,579,8,46
201604,118321,376,33,24
201605,121443,400,21,15
201606,133840,1011,33,29
201607,131215,854,20,20
201608,133495,833,49,11
201609,131013,787,79,9
201610,136771,623,68,41
201611,153851,824,84,20
201612,191636,984,105,16
201701,122850,474,97,26
201702,117443,634,90,26
201703,136105,1026,96,18
201704,114022,831,63,22
201705,122584,755,71,19
201706,126961,703,77,11
201707,122005,607,54,12
201708,125216,677,69,23
201709,115900,727,68,21
201710,122611,897,76,18
201711,140809,780,104,31
201712,157883,1238,103,10
201801,108444,901,89,11
201802,108537,1176,117,16
201803,117817,1106,185,19
201804,108365,1181,181,21
201805,113667,1283,189,16
201806,118707,1403,169,19
201807,113808,1113,113,13
201808,118132,1243,95,17
201809,113229,1523,127,9
201810,115970,1482,130,20
201811,132360,1639,128,16
201812,140147,1972,153,28
201901,109665,1608,191,50
201902,102554,1270,155,30
201903,115369,1984,158,18
201904,97116,1167,58,25
201905,101287,1067,53,15
201906,104291,2429,47,15
201907,104036,1977,79,12
201908,106247,1727,81,19
201909,98291,2335,105,26
201910,104216,2706,167,21
201911,121714,2952,99,39
201912,127537,2716,172,35
202001,102343,2227,255,27
202002,101944,2052,289,53
202003,85153,2198,170,20
202004,33822,982,104,19
202005,40852,1104,68,10
202006,61175,1522,136,28
202007,71155,1601,141,24
202008,75316,1618,135,51
202009,76234,1374,151,49
202010,82279,1895,120,57
202011,93305,2185,176,41
202012,102080,3212,241,70
202101,78971,2456,166,64
202102,79727,2936,164,36
202103,92280,3798,198,43
202104,79724,4287,205,71
202105,82335,4082,224,69
202106,84344,4089,197,58
202107,77638,4234,238,47
202108,74251,3656,254,74
202109,72880,3707,302,41
202110,73142,2666,567,265
202111,79054,3207,498,70
202112,93310,3329,479,302
202201,75328,2528,492,237
202202,76239,2869,348,142
202203,90797,3752,398,252
202204,79682,3026,354,397
202205,86729,3736,359,391
202206,86623,3149,312,284
202207,79724,3166,310,398
202208,87880,3338,352,418
202209,83047,3287,346,371
202210,88131,3545,348,572
202211,91974,4492,415,908
202212,117509,3971,541,1261
202301,90151,3310,398,555
202302,97325,3740,293,553
202303,113789,3591,489,932
202304,93687,2487,326,1110
202305,101343,4015,460,980
202306,106883,5034,575,1176
202307,104814,4746,477,954
202308,107788,4412,511,1386
202309,112017,4495,500,1240
202310,107380,4884,508,1259
202311,120872,6340,586,1681
202312,133347,7314,655,2346
202401,105075,6244,454,1325
202402,106474,5964,464,1506
202403,116080,6973,426,2281
202404,104475,6403,775,1843
202405,111223,5908,533,2572
202406,113000,7052,682,2657
202407,114085,7592,643,2940
202408,118075,7659,546,1728
202409,106188,8180,656,1765
202410,111374,8211,906,1915
202411,135717,9551,879,1717
202412,130921,12289,1030,2041
202501,109099,8682,838,1362
202502,107431,8079,867,1307
202503,115135,9742,828,1655
202504,98127,7647,831,1693
